Country,Year,Series,Value
China,1995,GDP in current prices (millions of US dollars),734485.0
China,2005,GDP in current prices (millions of US dollars),2285962.0
China,2010,GDP in current prices (millions of US dollars),6087188.0
China,2015,GDP in current prices (millions of US dollars),11061570.0
China,2018,GDP in current prices (millions of US dollars),13894906.0
China,2019,GDP in current prices (millions of US dollars),14279966.0
China,2020,GDP in current prices (millions of US dollars),14722801.0
Denmark,1995,GDP in current prices (millions of US dollars),185008.0
Denmark,2005,GDP in current prices (millions of US dollars),264467.0
Denmark,2010,GDP in current prices (millions of US dollars),321995.0
Denmark,2015,GDP in current prices (millions of US dollars),302673.0
Denmark,2018,GDP in current prices (millions of US dollars),356841.0
Denmark,2019,GDP in current prices (millions of US dollars),347561.0
Denmark,2020,GDP in current prices (millions of US dollars),356085.0
